Код_ISO_субъекта,Субъект_РФ,Индекс_сложности_трудоустройства_1_10,Индекс_при_других_весах_min,Индекс_при_других_весах_max,Лучшее_место_при_других_весах,Худшее_место_при_других_весах,Требуется_работников_человек,Оценка_безработных_человек,Вакансий_на_одного_безработного_V_U,Вакансий_на_10_тыс_рабочей_силы,Доля_вакантных_мест_в_обследованных_организациях_pct,Уровень_безработицы_окт_дек_2024_pct,Уровень_занятости_окт_дек_2024_pct,Уровень_безработицы_2024_pct,Безработица_плюс_потенциальная_рабочая_сила_2024_pct,Структурное_несовпадение_профгрупп_0_1,Среднее_время_поиска_работы_месяцев,Ищут_работу_12_месяцев_и_более_pct,Официальный_коэффициент_напряженности_2024,Сигнал_недоиспользования_труда_0_1,Сигнал_нехватки_вакансий_0_1,Сигнал_структурного_несовпадения_0_1,Сигнал_длительности_поиска_0_1,Сигнал_низкой_оплаты_0_1,Медианная_зарплата_апрель_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Медианная_зарплата_к_прожиточному_минимуму,Зарплатный_запас_после_прожиточного_минимума_руб,Привлекательность_зарплаты_1_10,Рабочая_сила_окт_дек_2024_тыс,Рост_средней_зарплаты_2024_к_2023_pct,Рост_зарплаты_июнь_2026_г_г_pct,Осторожность_при_интерпретации_безработицы,Ограничение_охвата,Внешняя_проверка_Спирмен_rho,Максимальная_корреляция_компонентов_Спирмен_rho,Версия_формулы,Интерпретация_внешней_проверки
RU-CE,Чеченская Республика,9.56,9.43,9.59,1,1,1591.2,49556.1,0.03210906427261225,24.08179820445919,1.11,7.5,58.7,8.7,9.1,0.2023666005594279,7.5,17.9,28.6,0.9397590361445783,0.9878048780487805,0.9634146341463414,0.7787303058387396,0.9879518072289156,33360.0,18556.0,1.7978012502694547,14804.0,1.11,660.748,11.091086796925476,-0.46096614190209717,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-CHE,Челябинская область,3.86,3.73,4.1,68,73,47288.88,31868.693,1.4838663135635968,252.25727330581142,6.58,1.7,73.1,1.9,2.4,0.10315386966604129,5.2,9.7,0.8,0.1746987951807229,0.5121951219512195,0.17073170731707318,0.3978220574606117,0.3373493975903614,68626.0,17782.0,3.85929591721966,50844.0,6.96,1874.629,21.347568943283648,7.7387179117835325,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-CHU,Чукотский автономный округ,1.91,1.76,2.08,84,84,3513.48,486.528,7.2215370955011835,1155.4459352801896,12.1,1.6,80.7,1.5,2.2,0.11715941229730349,3.3,,0.3,0.12048192771084337,0.0,0.2926829268292683,0.2740963855421687,0.0,171835.0,50448.0,3.4061806216301935,121387.0,10.0,30.408,16.737773207139696,15.513066408761533,Для части показателей длительности поиска нет опубликованного значения; использован нейтральный процентиль.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-CU,Чувашская Республика,5.46,5.14,5.81,32,46,10909.07,11013.045999999998,0.9905588335870023,188.2061783815304,5.83,1.9,65.0,2.1,3.0,0.09065363267710737,4.9,11.3,1.1,0.37349397590361444,0.7317073170731707,0.10975609756097561,0.37565647204201424,0.6987951807228916,54863.0,16817.0,3.262353570791461,38046.0,3.71,579.634,20.28759177483266,10.121896782611683,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-DA,Республика Дагестан,8.96,8.45,9.22,3,4,4925.82,175475.05,0.028071341196369514,32.282042375824936,2.05,11.5,57.6,11.2,16.2,0.11532726973824899,7.8,25.7,38.3,0.9879518072289156,0.975609756097561,0.2682926829268293,0.9344300278035218,0.9759036144578314,35887.0,17589.0,2.040309284211723,18298.0,1.22,1525.87,14.770577703256315,11.96019921592737,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-IN,Республика Ингушетия,9.32,9.05,9.46,2,2,150.0,68269.824,0.002197164006164715,5.62473985578167,0.37,25.6,52.9,26.4,26.7,0.14256027867120524,6.2,18.1,283.3,1.0,1.0,0.6219512195121951,0.6740809391411802,1.0,31418.0,18169.0,1.729209092410149,13249.0,1.0,266.679,11.054989395799165,11.736757651227702,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-IRK,Иркутская область,6.48,5.92,6.76,18,31,26598.19,35559.81,0.7479845927185775,224.39537781557326,4.99,3.0,67.1,3.1,5.9,0.08502741385643942,4.5,9.0,1.0,0.8554216867469879,0.8536585365853658,0.07317073170731707,0.2731696014828545,0.20481927710843373,77550.0,20489.0,3.7849577822246085,57061.0,8.16,1185.327,17.2913455820471,7.6305556347183945,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-IVA,Ивановская область,4.95,4.67,5.36,45,59,11164.63,10876.822,1.026460670221504,225.82134744873088,8.65,2.2,69.4,2.4,2.7,0.13499056343155127,6.8,22.3,0.7,0.29518072289156627,0.21951219512195122,0.524390243902439,0.8327154772937906,0.9156626506024096,48457.0,18169.0,2.6670152457482525,30288.0,1.76,494.401,17.974937994840268,14.368166403192717,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KAM,Камчатский край,3.98,3.49,4.56,62,77,8926.86,2883.8120000000004,3.0955069193137414,526.2361762833361,11.87,1.7,75.7,2.0,3.0,0.29834862501371545,6.2,19.8,0.5,0.37349397590361444,0.012195121951219513,1.0,0.6997219647822057,0.0963855421686747,113137.0,34019.0,3.3257003439254533,79118.0,9.13,169.636,11.346909484648581,18.43864508298698,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KB,Кабардино-Балкарская Республика,8.65,8.26,8.73,3,5,3594.42,21700.944,0.16563426918202268,79.50444920737088,4.63,4.8,64.1,6.5,6.5,0.16745740612864396,5.6,5.4,6.2,0.8795180722891566,0.926829268292683,0.7682926829268293,0.3600556070435589,0.963855421686747,39201.0,20682.0,1.895416304032492,18519.0,1.33,452.103,16.449557924369707,10.249933768949893,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KC,Карачаево-Черкесская Республика,8.2,8.03,8.44,4,8,2986.78,12020.506,0.24847373313569332,131.69107856191746,6.06,5.3,61.3,6.9,8.0,0.13722620167626948,7.7,26.2,5.2,0.927710843373494,0.6585365853658537,0.5487804878048781,0.9382143960457213,0.9397590361445783,39953.0,18169.0,2.1989652705157137,21784.0,1.54,226.802,18.89654590464891,11.870116207098524,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KDA,Краснодарский край,3.62,3.46,3.86,70,77,85029.14,55564.74,1.5302715355097496,290.7515917468524,9.79,1.9,66.4,2.0,3.1,0.07857038785746367,4.6,15.2,0.7,0.40963855421686746,0.10975609756097561,0.036585365853658534,0.45149830089589127,0.5180722891566265,61954.0,18556.0,3.338758353093339,43398.0,5.34,2924.46,20.70067085348373,15.944748701058309,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KEM,Кемеровская область,6.19,6.04,6.34,24,30,33860.53,33390.549,1.014075270220924,273.80032295964946,6.33,2.7,62.2,2.7,4.3,0.1410180752969692,5.0,13.2,0.8,0.7168674698795181,0.573170731707317,0.6097560975609756,0.4544331170837195,0.30120481927710846,69226.0,17589.0,3.9357553016089604,51637.0,7.29,1236.687,,,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KGD,Калининградская область,4.8,4.62,5.17,45,60,10839.89,12615.592,0.8592454480138545,189.033998563048,7.56,2.2,71.2,2.5,2.9,0.17318033143296047,5.1,10.3,1.0,0.3313253012048193,0.32926829268292684,0.8414634146341463,0.38917207290701267,0.46987951807228917,65663.0,19909.0,3.298156612587272,45754.0,5.77,573.436,19.764165583634007,13.324761394128814,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KGN,Курганская область,5.5,5.14,5.89,33,47,11244.23,7741.734000000001,1.4524175074989656,319.5318516497725,7.68,2.2,61.8,2.8,4.3,0.07640937411877015,6.4,21.5,1.2,0.7168674698795181,0.3170731707317073,0.024390243902439025,0.7717021933889403,0.6385542168674698,58342.0,18169.0,3.211073807033959,40173.0,4.25,351.897,24.772958969250446,9.169451517080418,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KHA,Хабаровский край,2.73,2.57,2.98,81,83,25240.08,12130.554000000002,2.080702991800704,353.71950860611975,9.19,1.7,72.6,1.6,2.1,0.12916210562983985,5.1,11.5,0.4,0.09036144578313253,0.14634146341463414,0.4634146341463415,0.4212233549582947,0.1566265060240964,87824.0,23581.0,3.7243543530808703,64243.0,8.59,713.562,16.791376756099364,20.331025076067565,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KHM,Ханты-Мансийский автономный округ — Югра,4.01,3.51,4.29,63,75,36814.92,,,,5.99,,,1.3,1.5,0.163980674293044,2.4,,0.6,0.012048192771084338,0.676829268292683,0.7317073170731707,0.2620481927710843,0.07228915662650602,115106.0,23165.0,4.968961795812648,91941.0,9.35,,,,Для части показателей длительности поиска нет опубликованного значения; использован нейтральный процентиль.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KIR,Кировская область,5.02,4.69,5.4,45,58,13008.04,10578.348000000002,1.2296853913295345,221.34337043931626,5.68,1.8,67.0,2.0,2.2,0.12112819063870192,4.5,10.6,0.6,0.12048192771084337,0.7804878048780488,0.3780487804878049,0.30522088353413657,0.6506024096385542,56609.0,17202.0,3.2908382746192304,39407.0,4.14,587.686,19.89751306505074,11.178004033249733,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KK,Республика Хакасия,6.16,5.88,6.48,20,30,6645.89,4255.36,1.5617691570160928,249.88306512257483,7.47,1.6,67.0,1.6,3.8,0.17267578843900666,8.2,25.0,0.7,0.6265060240963856,0.34146341463414637,0.8292682926829268,0.930259499536608,0.5060240963855421,63156.0,19716.0,3.203286670724285,43440.0,5.45,265.96,15.083796146384088,10.950489987217725,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KL,Республика Калмыкия,7.25,6.74,7.45,11,15,1672.5,5703.474,0.2932423291488661,123.16177824252378,5.7,4.2,65.5,5.1,5.1,0.11768641409036965,3.8,3.8,4.3,0.8192771084337349,0.7682926829268293,0.3048780487804878,0.08364226135310474,0.927710843373494,45287.0,18942.0,2.3908246225319396,26345.0,1.65,135.797,19.835212586818418,14.642587722815058,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-KLU,Калужская область,4.88,4.71,4.95,53,60,14084.46,7038.0599999999995,2.001184985635246,240.14219827622952,6.94,1.2,70.9,1.5,3.3,0.13583959831260398,4.1,8.4,0.6,0.4578313253012048,0.43902439024390244,0.5365853658536586,0.208758109360519,0.3855421686746988,67034.0,18556.0,3.6125242509161457,48478.0,6.53,586.505,20.32886287449587,13.598031514255338,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
