Профессиональная_группа,Занято_работников_2024,Требуется_работников_2024,Актуальная_зарплата_2025_руб,demand_signal,current_salary_signal,Балл_спроса_1_10,Актуальный_индекс_оплаты_1_10,Год_прогноза,annual_nominal_wage_growth_pct,wage_growth_factor_from_2025,wage_scenario_source,Прогнозная_зарплата_руб,Коэффициент_сценария_спроса,Сценарная_потребность_работников,Основание_сценария,salary_signal,Прогнозный_индекс_оплаты_1_10,Рост_зарплаты_к_2025_pct,Итоговый_ориентир_1_10,Место_в_прогнозе,Базовая_доля_вакансий_2024_pct,Сценарная_доля_вакансий_pct,Ошибка_backtest_2025_MAPE_pct,Ограничение
Неквалифицированные рабочие,2588588.19,270059.06999999995,40344.551267754956,0.625,0.0,6.625,1.0,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",54717.16968397605,0.97,261957.29789999995,"постепенное снижение доли под влиянием автоматизации, без сценария обвала",0.0,1.0,35.624682800000016,4.65625,6,9.45,9.19,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты высшей квалификации,7935021.529999999,499776.97000000003,86292.29075362365,0.125,0.875,2.125,8.875,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",117033.64561545581,1.09,544756.8973000001,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",0.875,8.875,35.624682800000016,4.4875,7,5.93,6.42,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Руководители,2525066.0300000003,115960.06999999999,151832.29271755117,0.0,1.0,1.0,10.0,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",205922.0653861463,0.98,113640.86859999999,небольшое снижение доли при слабом экономическом росте,1.0,10.0,35.624682800000016,4.15,8,4.39,4.31,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Офисные и учётные служащие,1452278.21,113256.05,54045.78718009234,0.25,0.375,3.25,4.375,2029,6.5,1.3562468280000002,"Медиана макроэкономического опроса Банка России, июль 2026",73299.42742976331,0.91,103063.0055,наиболее заметное снижение из-за цифровизации стандартных операций,0.375,4.375,35.624682800000016,3.64375,9,7.23,6.63,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Промышленность, строительство и транспорт",3687780.8900000006,426567.64,78166.90311606236,0.875,0.625,8.875,6.625,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,112374.43127008747,0.99,422301.9636,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",0.625,6.625,43.762163768000015,8.087499999999999,1,10.37,10.27,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Операторы машин, сборщики и водители",3676820.7299999995,355598.56,78339.15258467232,0.75,0.75,7.75,7.75,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,112622.06083324004,1.08,384046.4448,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,0.75,7.75,43.762163768000015,7.75,2,8.82,9.46,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Сельское и лесное хозяйство,152688.07,22739.730000000003,47973.921731658804,1.0,0.125,10.0,2.125,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,68968.34792579948,1.01,22967.127300000004,почти неизменный спрос: малая численность не превращается автоматически в быстрый рост всей отрасли,0.125,2.125,43.762163768000015,7.2437499999999995,3,12.96,13.08,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты высшей квалификации,7935021.529999999,499776.97000000003,86292.29075362365,0.25,0.875,3.25,8.875,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,124055.66435238316,1.12,559750.2064000001,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",0.875,8.875,43.762163768000015,5.21875,4,5.93,6.59,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты средней квалификации,3141770.4800000004,226208.07,69408.5576048949,0.375,0.5,4.375,5.5,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,99783.24425295564,1.12,253353.03840000002,умеренный рост в соответствии с официальным приоритетом кадров СПО,0.5,5.5,43.762163768000015,4.768750000000001,5,6.72,7.46,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Обслуживание, торговля и охрана",2616295.4899999998,221530.93000000002,48161.539778495455,0.5,0.25,5.5,3.25,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,69238.07168955111,1.03,228176.85790000003,почти стабильный спрос с небольшим ростом,0.25,3.25,43.762163768000036,4.7125,6,7.81,8.02,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Неквалифицированные рабочие,2588588.19,270059.06999999995,40344.551267754956,0.625,0.0,6.625,1.0,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,58000.199865014605,0.96,259256.70719999995,"постепенное снижение доли под влиянием автоматизации, без сценария обвала",0.0,1.0,43.762163768000015,4.65625,7,9.45,9.1,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Руководители,2525066.0300000003,115960.06999999999,151832.29271755117,0.0,1.0,1.0,10.0,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,218277.38930931507,0.97,112481.26789999999,небольшое снижение доли при слабом экономическом росте,1.0,10.0,43.762163768000015,4.15,8,4.39,4.26,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Офисные и учётные служащие,1452278.21,113256.05,54045.78718009234,0.125,0.375,2.125,4.375,2030,6.0,1.4376216376800002,Техническое продолжение после горизонта опроса ЦБ,77697.3930755491,0.89,100797.8845,наиболее заметное снижение из-за цифровизации стандартных операций,0.375,4.375,43.762163768000015,2.9124999999999996,9,7.23,6.49,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Промышленность, строительство и транспорт",3687780.8900000006,426567.64,78166.90311606236,0.875,0.625,8.875,6.625,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,118555.02498994228,1.02,435098.9928,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",0.625,6.625,51.66908277524001,8.087499999999999,1,10.37,10.55,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Операторы машин, сборщики и водители",3676820.7299999995,355598.56,78339.15258467232,0.75,0.75,7.75,7.75,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,118816.27417906823,1.1,391158.416,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,0.75,7.75,51.66908277524001,7.75,2,8.82,9.62,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Сельское и лесное хозяйство,152688.07,22739.730000000003,47973.921731658804,1.0,0.125,10.0,2.125,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,72761.60706171845,1.02,23194.524600000004,почти неизменный спрос: малая численность не превращается автоматически в быстрый рост всей отрасли,0.125,2.125,51.66908277524001,7.2437499999999995,3,12.96,13.19,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты высшей квалификации,7935021.529999999,499776.97000000003,86292.29075362365,0.25,0.875,3.25,8.875,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,130878.72589176422,1.14,569745.7458,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",0.875,8.875,51.66908277524001,5.21875,4,5.93,6.7,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты средней квалификации,3141770.4800000004,226208.07,69408.5576048949,0.375,0.5,4.375,5.5,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,105271.32268686818,1.14,257877.19979999997,умеренный рост в соответствии с официальным приоритетом кадров СПО,0.5,5.5,51.66908277524001,4.768750000000001,5,6.72,7.59,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Обслуживание, торговля и охрана",2616295.4899999998,221530.93000000002,48161.539778495455,0.5,0.25,5.5,3.25,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,73046.16563247642,1.04,230392.16720000003,почти стабильный спрос с небольшим ростом,0.25,3.25,51.66908277524003,4.7125,6,7.81,8.09,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Неквалифицированные рабочие,2588588.19,270059.06999999995,40344.551267754956,0.625,0.0,6.625,1.0,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,61190.210857590406,0.95,256556.11649999995,"постепенное снижение доли под влиянием автоматизации, без сценария обвала",0.0,1.0,51.66908277524001,4.65625,7,9.45,9.02,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Руководители,2525066.0300000003,115960.06999999999,151832.29271755117,0.0,1.0,1.0,10.0,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,230282.6457213274,0.97,112481.26789999999,небольшое снижение доли при слабом экономическом росте,1.0,10.0,51.66908277524001,4.15,8,4.39,4.26,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Офисные и учётные служащие,1452278.21,113256.05,54045.78718009234,0.125,0.375,2.125,4.375,2031,5.5,1.5166908277524,Техническое продолжение после горизонта опроса ЦБ,81970.7496947043,0.87,98532.7635,наиболее заметное снижение из-за цифровизации стандартных операций,0.375,4.375,51.66908277524001,2.9124999999999996,9,7.23,6.35,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Промышленность, строительство и транспорт",3687780.8900000006,426567.64,78166.90311606236,0.875,0.625,8.875,6.625,2032,5.0,1.59252536914002,Техническое продолжение после горизонта опроса ЦБ,124482.7762394394,1.05,447896.02200000006,"в 2027–2029 годах применён циклический дисконт из-за слабого роста ВВП, дорогого кредита и снижения строительства; затем — умеренная стабилизация",0.625,6.625,59.25253691400201,8.087499999999999,1,10.37,10.83,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
"Операторы машин, сборщики и водители",3676820.7299999995,355598.56,78339.15258467232,0.75,0.75,7.75,7.75,2032,5.0,1.59252536914002,Техническое продолжение после горизонта опроса ЦБ,124757.08788802165,1.12,398270.38720000006,умеренный рост: официальный кадровый прогноз указывает на высокий вес профессий со средним профессиональным образованием,0.75,7.75,59.25253691400201,7.75,2,8.82,9.77,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Сельское и лесное хозяйство,152688.07,22739.730000000003,47973.921731658804,1.0,0.125,10.0,2.125,2032,5.0,1.59252536914002,Техническое продолжение после горизонта опроса ЦБ,76399.68741480437,1.02,23194.524600000004,почти неизменный спрос: малая численность не превращается автоматически в быстрый рост всей отрасли,0.125,2.125,59.25253691400201,7.2437499999999995,3,12.96,13.19,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
Специалисты высшей квалификации,7935021.529999999,499776.97000000003,86292.29075362365,0.25,0.875,3.25,8.875,2032,5.0,1.59252536914002,Техническое продолжение после горизонта опроса ЦБ,137422.66218635245,1.16,579741.2852,"умеренный рост за счёт здравоохранения, инженерных и других сложных функций",0.875,8.875,59.25253691400203,5.21875,4,5.93,6.81,6.72,"Спрос — сценарная корректировка среза Росстата 31.10.2024, а не прогноз точного числа вакансий; зарплата 2026–2029 следует медиане июльского макроопроса ЦБ, 2030–2032 — техническое продолжение"
