Файл,Официальный_URL,Период,Назначение,SHA256,Дата_формирования_реестра
Rosstat_MSP_employment_methodology_2026.pdf,https://rosstat.gov.ru/storage/mediabank/XIAbF4QQ/MET010018.pdf,Методология 2026,Контроль определения занятых в секторе МСП; коэффициент не подставляется в индекс,2D3ACF95C301B0E5B9AA5DA9E2BCE4100DA3B5D2B164BCAF746209B3B6CAB65A,2026-09-12
Rosstat_monthly_wages_by_region_2013_2026-06.xlsx,https://rosstat.gov.ru/storage/mediabank/tab2-zpl_06-2026.xlsx,2013 — июнь 2026; обновлено 02.09.2026,Независимая проверка индекса по динамике зарплаты,2C735AA79F504438A44E792440B8A4E2CADDA64ABD6886042E0D0356E0E32BF5,2026-09-12
Rosstat_labor_force_15plus_2026-07-15.xlsx,https://rosstat.gov.ru/storage/mediabank/trud-1_15-s.xlsx,март–май 2026; обновлено 15.07.2026,Актуальный контекст численности рабочей силы 15 лет и старше,1F44CD602B237BA262A8C1A4DF67E41C3EF9E9552B4A916500FCA7A4E4504786,2026-09-12
Rosstat_unemployment_15plus_2026-07-15.xlsx,https://rosstat.gov.ru/storage/mediabank/trud_3_15-s.xlsx,март–май 2026; обновлено 15.07.2026,Актуальный контекст безработицы населения 15 лет и старше,14E9E7115CED9DB4694A3496A6C748DEA080D81312CF0C57846747A4CAE687A2,2026-09-12
Rosstat_median_wage_2019_2025.xlsx,https://rosstat.gov.ru/storage/mediabank/tab9-zpl_2025.xlsx,2019–2025,Фактическая годовая медианная начисленная зарплата по России,A5C7661F5C33F027B3A2573BCA4976B988087358F25813EB377B994B42700C67,2026-09-12
Rosstat_CPI_1992_2025.xlsx,https://rosstat.gov.ru/storage/mediabank/ipc_s_1992-2025.xlsx,1992–2025; в модели используются 2000–2025,Официальный фактический годовой ИПЦ для исторической части графика,8E9DC6E9A9D330D2F4921F86FC9CA513689DEB59A52D072538B6ED912F19FA8D,2026-09-12
Rosstat_CPI_monthly_1991_2026-08.xlsx,https://rosstat.gov.ru/storage/mediabank/ipc_mes_08-2026.xlsx,январь–август 2026; обновлено 11.09.2026,Контроль текущей инфляции 2026 года: ИПЦ к декабрю 2025 года,4EF8B1D7A70D3B3E40260D4374B063A176B6FD628D7BF7289A7343AB621F6EBF,2026-09-12
Rosstat_CPI_December_2025.html,https://rosstat.gov.ru/storage/mediabank/3_16-01-2026.html,декабрь 2025; последний полный официальный год — 2025,Контроль последнего фактического ИПЦ: декабрь к декабрю,34A3FEEA098470A6F9FE484BD98A277AF624D4B215B5233794DB9D548E847FB4,2026-09-12
Bank_of_Russia_inflation_forecast_2026-07-24.html,https://www.cbr.ru/press/pr/?file=24072026_133000key.htm,прогноз от 24.07.2026,Прогноз инфляции 6–7% в 2026 году и возврат к цели 4% с 2027 года,609978C27731D0C01BA0E9B154654424A237667BD302200667097173BE275F3C,2026-09-12
Bank_of_Russia_medium_term_forecast_2026-07-24.pdf,https://www.cbr.ru/Content/Document/File/194258/forecast_260724.pdf,среднесрочный прогноз от 24.07.2026; горизонт 2026–2029,"Базовый прогноз самого Банка России; справочный источник, не ряд совмещённого графика",292ED1275470EAC855B195BB29B0CFFA04E4A9C7B939C2A7A6DD24B76D63CA33,2026-09-12
Bank_of_Russia_macroeconomic_survey_2026-07.xlsx,https://www.cbr.ru/Content/Document/File/144490/full.xlsx,опрос 10–14.07.2026; опубликовано 15.07.2026; горизонт 2026–2029,Медианы и диапазоны прогнозов инфляции и роста номинальной зарплаты,A715EDF614799186278656970380AA0BA6ABCFB801BFA2E92806CDC9FDB06944,2026-09-12
Bank_of_Russia_macroeconomic_survey_2026-07.pdf,https://www.cbr.ru/Content/Document/File/193892/Survey_pdf.pdf,июль 2026; факты 2021–2025 и прогноз 2026–2029,Официальная презентация с таблицами и готовыми графиками макроопроса,8F9955FFED48BA9D5B6E006EE891337D4A04F8931C67CC8195381091C2AAC5A9,2026-09-12
Sevastopol_labor_force_2024.xlsx,https://82.rosstat.gov.ru/folder/27489,октябрь–декабрь 2024,Сопоставимые показатели рабочей силы Севастополя для индекса,2941ED770CC5CFF04BE37574A41BC44061C132E8A5886096F5746124CBC0E224,2026-09-12
Sevastopol_labor_force_2026.xlsx,https://82.rosstat.gov.ru/folder/27489,апрель–июнь 2026; обновлено 17.08.2026,Последний оперативный контекст рабочей силы Севастополя,103905B5728B6E2E372E588D8142A9207BCBF6EF861360A94FD2387AF313359E,2026-09-12
Sevastopol_in_figures_2025.pdf,https://82.rosstat.gov.ru/storage/mediabank/1-Севастополь в цифрах 2025.pdf,2024–2025; опубликовано в 2026 году,"Население, прожиточный минимум и контроль показателей Севастополя",938397CC707D0ABCB4EFDE2F438A355B1108C50917A0420A4B5638AB87BF2AFE,2026-09-12
Rosstat_Labour_Force_2026.pdf,https://rosstat.gov.ru/folder/210/document/13211,годовые данные по 2025 год; опубликовано 22.07.2026,"Последний годовой сборник о рабочей силе, занятости и безработице",E15A281B9D99D16436BFBA4E75FC0021309867737893EFB04CD757C7D37B1F2C,2026-09-12
